"component_code","name"
"GB5783-M6*20-8.8Z","螺栓"
"GB6170-M6-8Z","螺母"
"GB97.1-M6-140HV-Z","平垫圈"
"GB93-M6-430HV-Z","弹簧垫圈"
"GB5783-M10*35-8.8Z","螺栓"
"GB6170-M10-8Z","螺母"
"GB97.1-M10-140HV-Z","平垫圈"
"GB93-M10-430HV-Z","弹簧垫圈"
"GEL4Z035001","M6拉铆螺母"
"G5783-M6*20-8.8Z","螺栓"
"G5783-M10*35-8.8Z","螺栓"
"GB5783-M6*30-8.8Z","螺栓"
"GB853-M6","槽钢用方斜垫圈"
"GB97.1-M6","平垫圈"
"GB/T5783-8.8","螺栓M12*45 "
"GB/T6170-8","螺母M12"
"GB/T97.1","平垫12"
"GB/T93","弹垫12"
"GB853-88-12-Z","槽钢用方斜垫"
"GB/T5783/M12*45/8.8","螺栓M12*45 "
"GB/T6170/M12/8","螺母M12"
"GB/T97.1/12","平垫12"
"GB/T93/12","弹垫12"
"GB/T5783/M12*40/8.8","螺栓M12*40"
"GB853-88-16-Z","槽钢用方斜垫"
"GB/T5783/M16*45/8.8","螺栓"
"GB/T6170/M16/8","螺母"
"GB/T97.1/M16","平垫"
"GB/T93/M16","弹垫"
"GB/T97.1/16","平垫12"
"GB/T93/16","弹垫12"
"GB/T 5783-8.8","螺栓M16*55"
"GB/T 6170-8","螺母M16"
"GB/T 97.1","平垫16"
"GB/T 93","弹垫16"
"GB/T 5783 M12*45","六角螺栓"
"GB/T 6170 M12","六角螺母"
"GB/T 97.1 12","平垫"
"GB 93 12","弹垫"
"GB/T15389-M24×170-8.8Z","螺杆"
"GB/T 853","方斜垫"
"GB/T 6170","螺母"
"GB/T 13681-M16","焊接螺母"
"GB/T 70.1-M16*40","内六角螺栓"
"GB97.1-16","平垫"
"GB93-16","弹垫"
"GB/T15389-M20×95-8.8Z","螺杆"
"GB/T 97.1-M20","平垫"
"GB/T 93-M20","弹垫"
"GB/T 853-M20","方斜垫"
